feature,importance
morgan_1623,2
morgan_1613,2
morgan_251,2
morgan_1562,2
morgan_1241,2
morgan_1182,2
morgan_1179,2
morgan_1170,2
morgan_73,2
morgan_215,2
morgan_1619,2
morgan_1701,2
morgan_1009,2
morgan_1719,2
morgan_95,2
morgan_1685,2
morgan_1120,2
morgan_938,2
maccs_89,2
maccs_57,2
morgan_1203,2
morgan_238,2
morgan_1569,2
morgan_1082,2
morgan_1141,2
maccs_96,2
morgan_1055,2
morgan_1054,2
morgan_242,2
morgan_1051,2
morgan_1197,2
morgan_1045,2
morgan_1158,2
morgan_1100,2
morgan_1717,2
morgan_219,2
morgan_1034,2
morgan_1567,2
morgan_128,2
morgan_1765,2
morgan_684,2
morgan_590,2
morgan_1915,2
morgan_607,2
morgan_1907,2
morgan_617,2
morgan_1370,2
morgan_1897,2
morgan_1891,2
morgan_647,2
morgan_1348,2
maccs_8,2
morgan_689,2
morgan_34,2
morgan_1860,2
morgan_694,2
morgan_1849,2
morgan_724,2
morgan_745,2
morgan_58,2
morgan_1313,2
morgan_1312,2
morgan_785,2
morgan_1813,2
morgan_794,2
morgan_1934,2
morgan_369,2
morgan_813,2
morgan_1972,2
morgan_3,2
morgan_2007,2
morgan_1440,2
morgan_1998,2
morgan_441,2
morgan_1459,2
morgan_1463,2
morgan_2024,2
morgan_463,2
morgan_1980,2
morgan_1977,2
morgan_487,2
morgan_558,2
morgan_1422,2
morgan_493,2
morgan_501,2
morgan_502,2
morgan_1411,2
maccs_166,2
morgan_523,2
morgan_25,2
morgan_1940,2
morgan_375,2
morgan_1483,2
morgan_797,2
morgan_1504,2
morgan_1298,2
morgan_1285,2
morgan_1550,2
morgan_850,2
morgan_818,2
morgan_835,2
morgan_1786,2
morgan_816,2
morgan_1808,2
maccs_45,2
morgan_267,2
morgan_866,1
morgan_348,1
morgan_624,1
morgan_1796,1
morgan_253,1
morgan_504,1
morgan_653,1
morgan_160,1
morgan_273,1
morgan_1549,1
morgan_2033,1
morgan_278,1
morgan_161,1
morgan_942,1
morgan_1561,1
morgan_193,1
morgan_1222,1
maccs_73,1
morgan_1279,1
morgan_1049,1
morgan_1893,1
morgan_1677,1
morgan_1631,1
morgan_1792,1
morgan_1044,1
morgan_270,1
morgan_1508,1
morgan_12,1
morgan_1033,1
maccs_71,1
morgan_637,1
morgan_901,1
morgan_345,1
morgan_940,1
morgan_39,1
morgan_1958,1
morgan_550,1
morgan_1096,1
morgan_36,1
morgan_1128,1
maccs_119,1
morgan_559,1
morgan_1125,1
morgan_175,1
morgan_549,1
morgan_1638,1
morgan_1784,1
morgan_1110,1
morgan_1208,1
morgan_1602,1
morgan_1601,1
morgan_246,1
morgan_1948,1
morgan_573,1
morgan_1489,1
morgan_1133,1
morgan_1079,1
morgan_1590,1
morgan_664,1
morgan_598,1
morgan_1075,1
morgan_360,1
morgan_1919,1
morgan_1666,1
morgan_361,1
morgan_1592,1
morgan_589,1
morgan_1083,1
morgan_586,1
morgan_1923,1
morgan_1664,1
morgan_1663,1
maccs_78,1
morgan_149,1
morgan_1600,1
morgan_826,1
morgan_1839,1
morgan_1807,1
morgan_213,1
morgan_53,1
morgan_1992,1
morgan_1707,1
morgan_1845,1
morgan_817,1
morgan_84,1
morgan_1461,1
morgan_429,1
morgan_983,1
morgan_734,1
morgan_981,1
morgan_819,1
morgan_2017,1
morgan_1989,1
morgan_753,1
morgan_445,1
morgan_1321,1
morgan_1530,1
morgan_81,1
morgan_892,1
morgan_1275,1
maccs_46,1
morgan_130,1
maccs_58,1
morgan_234,1
morgan_966,1
morgan_1539,1
morgan_262,1
maccs_24,1
morgan_2022,1
morgan_2008,1
morgan_947,1
morgan_671,1
morgan_481,1
morgan_1468,1
morgan_1257,1
morgan_679,1
morgan_944,1
morgan_682,1
morgan_812,1
morgan_1803,1
morgan_1861,1
morgan_1013,1
morgan_1296,1
morgan_811,1
morgan_997,1
morgan_1695,1
morgan_1256,1
maccs_33,1
morgan_1335,1
morgan_999,1
morgan_715,1
morgan_404,1
maccs_50,1
morgan_1700,1
morgan_1762,1
maccs_61,1
morgan_1005,1
morgan_326,1
morgan_1251,1
morgan_1554,0
maccs_165,0
morgan_1478,0
morgan_1454,0
morgan_1610,0
morgan_1458,0
morgan_1477,0
morgan_1556,0
morgan_1467,0
morgan_1471,0
morgan_1466,0
morgan_1473,0
morgan_1465,0
morgan_1474,0
morgan_1559,0
morgan_1608,0
morgan_1464,0
morgan_1560,0
morgan_1606,0
morgan_1475,0
morgan_1462,0
morgan_1469,0
morgan_1460,0
morgan_1605,0
morgan_1555,0
morgan_1557,0
morgan_1470,0
morgan_1551,0
morgan_1479,0
morgan_1519,0
morgan_1576,0
morgan_1523,0
morgan_1522,0
morgan_1577,0
morgan_1521,0
morgan_1520,0
morgan_1547,0
morgan_1575,0
morgan_1517,0
morgan_1515,0
morgan_1565,0
morgan_1579,0
morgan_1514,0
morgan_1580,0
morgan_1566,0
morgan_1525,0
maccs_163,0
morgan_1537,0
morgan_1545,0
morgan_1543,0
morgan_1541,0
morgan_1540,0
morgan_1538,0
morgan_1571,0
maccs_137,0
morgan_1526,0
morgan_1534,0
morgan_1533,0
morgan_1532,0
morgan_1531,0
morgan_1529,0
morgan_1527,0
morgan_1513,0
morgan_1510,0
morgan_1509,0
morgan_1486,0
morgan_1492,0
morgan_1491,0
morgan_1490,0
morgan_1593,0
maccs_156,0
morgan_1595,0
maccs_142,0
morgan_1583,0
morgan_1552,0
morgan_1596,0
morgan_1597,0
maccs_161,0
morgan_1553,0
maccs_162,0
morgan_1493,0
morgan_1494,0
morgan_1495,0
morgan_1497,0
maccs_125,0
morgan_1498,0
morgan_1499,0
morgan_1500,0
morgan_1588,0
morgan_1587,0
morgan_1502,0
morgan_1503,0
morgan_1585,0
morgan_1584,0
morgan_1558,0
morgan_1505,0
morgan_1548,0
morgan_1544,0
morgan_2016,0
morgan_1616,0
morgan_1878,0
maccs_5,0
morgan_1882,0
morgan_1884,0
morgan_1885,0
morgan_1886,0
morgan_1888,0
morgan_1889,0
morgan_1890,0
morgan_1892,0
morgan_1894,0
morgan_1895,0
morgan_1896,0
morgan_1899,0
morgan_1900,0
maccs_4,0
morgan_1901,0
morgan_1902,0
morgan_1904,0
maccs_3,0
morgan_1906,0
maccs_2,0
morgan_1909,0
maccs_1,0
morgan_1913,0
morgan_1914,0
maccs_0,0
morgan_2047,0
morgan_2045,0
morgan_1916,0
maccs_6,0
morgan_1877,0
morgan_1833,0
morgan_1875,0
morgan_1836,0
morgan_1837,0
maccs_20,0
morgan_1838,0
morgan_1841,0
morgan_1842,0
morgan_1843,0
maccs_18,0
maccs_17,0
morgan_1848,0
maccs_16,0
maccs_15,0
morgan_1850,0
maccs_14,0
morgan_1851,0
morgan_1857,0
maccs_13,0
maccs_12,0
morgan_1862,0
morgan_1863,0
morgan_1864,0
maccs_10,0
maccs_9,0
morgan_1867,0
maccs_7,0
morgan_1870,0
morgan_1871,0
morgan_1872,0
morgan_1873,0
morgan_1922,0
morgan_2044,0
morgan_1924,0
morgan_1925,0
morgan_2030,0
morgan_2028,0
morgan_2027,0
morgan_1973,0
morgan_1974,0
morgan_1975,0
morgan_1976,0
morgan_1979,0
morgan_1981,0
morgan_1983,0
morgan_2025,0
morgan_1986,0
morgan_1987,0
morgan_1988,0
morgan_2020,0
morgan_1994,0
morgan_2019,0
morgan_1995,0
morgan_1997,0
morgan_2001,0
morgan_2002,0
morgan_2003,0
morgan_2006,0
morgan_2011,0
morgan_2012,0
morgan_2013,0
morgan_2014,0
morgan_2018,0
morgan_2015,0
morgan_2031,0
morgan_1968,0
morgan_2032,0
morgan_1944,0
morgan_1927,0
morgan_2041,0
morgan_2040,0
morgan_1931,0
morgan_1932,0
morgan_1933,0
morgan_1935,0
morgan_1936,0
morgan_1938,0
morgan_2037,0
morgan_1941,0
morgan_2036,0
morgan_1942,0
morgan_1945,0
morgan_1967,0
morgan_1947,0
morgan_1949,0
morgan_1951,0
morgan_1952,0
morgan_1953,0
morgan_2035,0
morgan_1959,0
morgan_1960,0
morgan_2034,0
morgan_1962,0
morgan_1963,0
morgan_1965,0
morgan_1966,0
morgan_1835,0
maccs_21,0
morgan_1618,0
morgan_1675,0
morgan_1678,0
morgan_1679,0
morgan_1680,0
morgan_1681,0
morgan_1684,0
morgan_1686,0
morgan_1687,0
morgan_1688,0
morgan_1690,0
morgan_1694,0
maccs_68,0
morgan_1698,0
morgan_1699,0
morgan_1702,0
morgan_1703,0
morgan_1704,0
morgan_1705,0
morgan_1709,0
morgan_1710,0
morgan_1711,0
morgan_1713,0
morgan_1714,0
morgan_1715,0
morgan_1716,0
morgan_1720,0
morgan_1721,0
morgan_1723,0
maccs_63,0
morgan_1725,0
morgan_1676,0
morgan_1674,0
morgan_1830,0
morgan_1673,0
morgan_1620,0
morgan_1621,0
morgan_1622,0
morgan_1625,0
morgan_1628,0
morgan_1630,0
morgan_1633,0
morgan_1635,0
morgan_1636,0
morgan_1639,0
morgan_1640,0
morgan_1641,0
morgan_1642,0
morgan_1643,0
morgan_1645,0
morgan_1646,0
morgan_1650,0
morgan_1651,0
morgan_1652,0
morgan_1654,0
morgan_1655,0
morgan_1656,0
morgan_1658,0
morgan_1659,0
morgan_1660,0
morgan_1662,0
morgan_1668,0
morgan_1669,0
morgan_1672,0
morgan_1728,0
maccs_60,0
morgan_1730,0
morgan_1732,0
maccs_39,0
morgan_1797,0
morgan_1798,0
morgan_1800,0
morgan_1801,0
morgan_1802,0
morgan_1804,0
morgan_1805,0
morgan_1806,0
morgan_1809,0
maccs_35,0
maccs_34,0
morgan_1811,0
maccs_31,0
maccs_30,0
maccs_29,0
morgan_1814,0
maccs_27,0
morgan_1815,0
maccs_26,0
morgan_1818,0
morgan_1820,0
morgan_1821,0
morgan_1822,0
morgan_1824,0
morgan_1826,0
morgan_1827,0
morgan_1828,0
morgan_1829,0
maccs_40,0
morgan_1793,0
morgan_1788,0
morgan_1763,0
morgan_1737,0
morgan_1740,0
morgan_1742,0
morgan_1743,0
morgan_1748,0
morgan_1749,0
morgan_1751,0
morgan_1752,0
morgan_1753,0
morgan_1755,0
morgan_1757,0
morgan_1760,0
morgan_1761,0
morgan_1764,0
morgan_1787,0
maccs_48,0
morgan_1767,0
morgan_1769,0
morgan_1770,0
morgan_1772,0
maccs_44,0
morgan_1775,0
morgan_1776,0
morgan_1777,0
morgan_1778,0
morgan_1779,0
morgan_1782,0
morgan_1785,0
morgan_1736,0
morgan_0,0
morgan_1451,0
morgan_553,0
morgan_511,0
morgan_510,0
morgan_509,0
morgan_508,0
morgan_506,0
morgan_505,0
morgan_498,0
morgan_494,0
morgan_492,0
morgan_490,0
morgan_485,0
morgan_484,0
morgan_483,0
morgan_482,0
morgan_480,0
morgan_478,0
morgan_477,0
morgan_476,0
morgan_475,0
morgan_471,0
morgan_468,0
morgan_512,0
morgan_513,0
morgan_514,0
morgan_532,0
morgan_547,0
morgan_545,0
morgan_543,0
morgan_542,0
morgan_540,0
morgan_538,0
morgan_536,0
morgan_534,0
morgan_533,0
morgan_531,0
morgan_515,0
morgan_529,0
morgan_528,0
morgan_525,0
morgan_522,0
morgan_521,0
morgan_520,0
morgan_519,0
morgan_518,0
morgan_517,0
morgan_466,0
morgan_462,0
morgan_461,0
morgan_408,0
morgan_423,0
morgan_422,0
morgan_421,0
morgan_420,0
morgan_418,0
morgan_416,0
morgan_415,0
morgan_414,0
morgan_410,0
morgan_406,0
morgan_426,0
morgan_405,0
morgan_403,0
morgan_402,0
morgan_401,0
morgan_400,0
morgan_399,0
morgan_397,0
morgan_394,0
morgan_393,0
morgan_424,0
morgan_427,0
morgan_460,0
morgan_443,0
morgan_459,0
morgan_457,0
morgan_453,0
morgan_452,0
morgan_451,0
morgan_450,0
morgan_449,0
morgan_447,0
morgan_444,0
morgan_442,0
morgan_430,0
morgan_439,0
morgan_438,0
morgan_437,0
morgan_436,0
morgan_435,0
morgan_434,0
morgan_433,0
morgan_432,0
morgan_431,0
morgan_551,0
morgan_562,0
morgan_390,0
morgan_566,0
morgan_677,0
morgan_676,0
morgan_673,0
morgan_672,0
morgan_670,0
morgan_669,0
morgan_666,0
morgan_665,0
morgan_663,0
morgan_662,0
morgan_660,0
morgan_659,0
morgan_658,0
morgan_657,0
morgan_655,0
morgan_654,0
morgan_651,0
morgan_648,0
morgan_646,0
morgan_645,0
morgan_644,0
morgan_681,0
morgan_683,0
morgan_686,0
morgan_717,0
morgan_738,0
morgan_735,0
morgan_733,0
morgan_731,0
morgan_730,0
morgan_729,0
morgan_726,0
morgan_722,0
morgan_719,0
morgan_709,0
morgan_688,0
morgan_707,0
morgan_706,0
morgan_705,0
morgan_702,0
morgan_701,0
morgan_700,0
morgan_698,0
morgan_697,0
morgan_691,0
morgan_643,0
morgan_642,0
morgan_640,0
morgan_584,0
morgan_604,0
morgan_603,0
morgan_599,0
morgan_597,0
morgan_596,0
morgan_595,0
morgan_594,0
morgan_592,0
morgan_588,0
morgan_583,0
morgan_606,0
morgan_582,0
morgan_580,0
morgan_579,0
morgan_578,0
morgan_572,0
morgan_570,0
morgan_569,0
morgan_568,0
morgan_567,0
morgan_605,0
morgan_608,0
morgan_639,0
morgan_626,0
morgan_636,0
morgan_634,0
morgan_633,0
morgan_632,0
morgan_631,0
morgan_630,0
morgan_629,0
morgan_628,0
morgan_627,0
morgan_625,0
morgan_609,0
morgan_622,0
morgan_621,0
morgan_620,0
morgan_619,0
morgan_616,0
morgan_615,0
morgan_613,0
morgan_612,0
morgan_610,0
morgan_391,0
